id,referenceId,referenceType,userId,label,description,type,creationDate,lastModificationDate,echueDate,contentType,authorName,modifier
5f5c8d759a49ce0001c51e0c,5f4e61b8c154d5000100b02a,CLASS,Null,Grammaire ,desc Grammaire ,HOMEWORK,2020-09-12T08:57:25.677Z,2020-09-12T08:57:25.677Z,2020-09-13T23:00:00.000Z,,,5e5e2cb73dc85e0001e90672
5f5c80c6217d3600011d35bc,5f4e61b8c154d5000100b02a,CLASS,Null,,,HOMEWORK_LIST,2020-09-12T08:03:18.005Z,2020-09-12T08:03:18.005Z,2020-09-17T23:00:00.000Z,,,5e5e2cb73dc85e0001e90672
5f5c806e217d3600011d35a9,5f4e61b8c154d5000100b02a,CLASS,Null,,,HOMEWORK_LIST,2020-09-12T08:01:50.911Z,2020-09-12T08:01:50.911Z,2020-09-14T23:00:00.000Z,,,5e5e2cb73dc85e0001e90672
5f5c809e217d3600011d35ae,5f4e61b8c154d5000100b02a,CLASS,Null,,,HOMEWORK_LIST,2020-09-12T08:02:38.458Z,2020-09-12T08:02:38.458Z,2020-09-16T23:00:00.000Z,,,5e5e2cb73dc85e0001e90672
5f5c8056217d3600011d35a5,5f4e61b8c154d5000100b02a,CLASS,Null,,,HOMEWORK_LIST,2020-09-12T08:01:26.221Z,2020-09-12T08:01:26.221Z,2020-09-13T23:00:00.000Z,,,5e5e2cb73dc85e0001e90672
5f6a0ab5fb6eb600010f6ccd,5f6a0a44046ca50001ad3afe,CLASS,Null,,,HOMEWORK_LIST,2020-09-22T14:31:17.694Z,2020-09-22T14:31:17.694Z,2020-09-23T00:00:00.000Z,,,5f68c1ee046ca50001ad3732
5f6c9f8d046ca50001ad3e8f,5f4e27ab2447780001556cf0,CLASS,Null,,,HOMEWORK_LIST,2020-09-24T13:30:53.161Z,2020-09-24T13:30:53.161Z,2020-09-25T00:00:00.000Z,,,5e5ccf59026b4800016b27b0
5f7d7b1f08a33300018cce0a,5f54ce6585b2260001876b6f,CLASS,Null,Geometrie G1 dans le banque outil math,,HOMEWORK,2020-10-07T08:23:59.247Z,2020-10-07T08:23:59.247Z,2020-10-08T00:00:00.000Z,,,5f68a93b046ca50001ad36ae
5f7deff008a33300018cd0e4,5f7def419fe5530001fd2151,CLASS,Null,,,HOMEWORK_LIST,2020-10-07T16:42:24.337Z,2020-10-07T16:42:24.337Z,2020-10-08T00:00:00.000Z,,,5e6210b49fed0e00015600b6
5f64c4ca8001bd00012c95e4,5f4e27ab2447780001556cf0,CLASS,Null,,,HOMEWORK_LIST,2020-09-18T14:31:38.960Z,2020-09-18T14:31:38.960Z,2020-09-21T00:00:00.000Z,,,5e5ccf59026b4800016b27b0
5f68c1a0046ca50001ad371b,5f4e27ab2447780001556cf0,CLASS,Null,Maths exercice 78,,HOMEWORK,2020-09-21T15:07:12.009Z,2020-09-21T15:07:12.009Z,2020-09-22T00:00:00.000Z,,,5e5ccf59026b4800016b27b0
5f68c1d9046ca50001ad372b,5f4e27ab2447780001556cf0,CLASS,Null,Maths exercice 84,,HOMEWORK,2020-09-21T15:08:09.990Z,2020-09-21T15:08:09.990Z,2020-09-22T00:00:00.000Z,,,5e5ccf59026b4800016b27b0
5f68dbd1fb6eb600010f696e,5f54ce6585b2260001876b6f,CLASS,Null,,,HOMEWORK_LIST,2020-09-21T16:58:57.526Z,2020-09-21T16:58:57.526Z,2020-09-25T00:00:00.000Z,,,5e58e79576c3f600016baadc
5f75a10508a33300018cbe2e,5f4e46f02447780001556df3,CLASS,Null,Math,,HOMEWORK,2020-10-01T09:27:33.291Z,2020-10-01T09:27:33.291Z,2020-10-02T00:00:00.000Z,,,5e5e2cb73dc85e0001e90672
5f75b80a08a33300018cbfb8,5f5d27d2217d3600011d3701,CLASS,Null,,,HOMEWORK_LIST,2020-10-01T11:05:46.877Z,2020-10-01T11:05:46.877Z,2020-10-02T00:00:00.000Z,,,5f5d23829a49ce0001c51e9f
