,id,level,name,schoolYear,creationDate,nbChild,secteur_public_prive_libe,appellation_officielle,code_postal_uai,code_commune,libelle_commune,localite_acheminement_uai,libelle_departement,libelle_region,geometry_type,coordinatesLat,coordinatesLong,lastModificationDate,coordinates,nbArchivedChildren,cacheMap
0,5f49130c4ded6f0001f02861,5ème,S5,2020-2021,2020-08-28 16:22,1.0,Public,Collège Jean Jaurès,39500,39189,Damparis,DAMPARIS,Jura,Bourgogne-Franche-Comté,Point,47.06815775,5.4146034,2021-02-15 14:07,"47.06815774787053,5.414603395756424",0.0,🔵 eyJpIjoiNDcuMDY4MTU3NzQ3ODcwNTMsNS40MTQ2MDMzOTU3NTY0MjQiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0Ny4wNjgxNTgsImxuZyI6NS40MTQ2MDMsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaTg3MG45QkdJT1VWZDFDIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGJKbE1CSklkMWdCY2xxIn0sImUiOjB9
1,5f4917204ded6f0001f030c0,Petite section,s5,2020-2021,2020-08-28 16:39,0.0,Public,Ecole élémentaire Paul Langevin,39500,39189,Damparis,DAMPARIS,Jura,Bourgogne-Franche-Comté,Point,47.06995174,5.41573707,2021-02-15 14:07,"47.06995174190594,5.415737072219595",0.0,🔵 eyJpIjoiNDcuMDY5OTUxNzQxOTA1OTQsNS40MTU3MzcwNzIyMTk1OTUiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0Ny4wNjk5NTIsImxuZyI6NS40MTU3MzcsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaTg3MG45QkdJT1VWZDFDIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGJKbE1CSklkMWdCY2xxIn0sImUiOjB9
2,5f4912c94ded6f0001f027f2,Grande section,T1,2020-2021,2020-08-28 16:20,2.0,Public,A COMPLETER,98812,98802,Bouloupari,BOULOUPARIS,Nouvelle Calédonie,TOM et Collectivités territoriales,,,,2021-02-15 14:07,",",0.0,🔵 eyJpIjoiLCIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiSGFnYXNtw6FyaSAxLCAyMDEgS8OzcGF2b2d1ciwgSXNsYW5kZSIsImxhdCI6NjQuMTAwODU5MywibG5nIjotMjEuODg2MjczMSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MTYxOTAxMzA5OTY3Nn0=
3,5f49139a4ded6f0001f02a08,Petite section,Classe Madame Sarah,2020-2021,2020-08-28 16:24,3.0,Public,Ecole primaire de Boulouparis,98812,98802,Bouloupari,BOULOUPARIS,Nouvelle Calédonie,TOM et Collectivités territoriales,,,,2021-02-15 14:07,",",0.0,🔵 eyJpIjoiLCIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiSGFnYXNtw6FyaSAxLCAyMDEgS8OzcGF2b2d1ciwgSXNsYW5kZSIsImxhdCI6NjQuMTAwODU5MywibG5nIjotMjEuODg2MjczMSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MTYxOTAxMzExMDY2N30=
4,5f4906584ded6f0001f02685,Petite section,non scolarisés,2020-2021,2020-08-28 15:27,2.0,Public,Ecole maternelle Louis Pasteur,27370,27616,La Saussaye,LA SAUSSAYE,Eure,Normandie,Point,49.26063468,0.97730833,2021-02-15 14:07,"49.26063467583511,0.9773083272907583",0.0,🔵 eyJpIjoiNDkuMjYwNjM0Njc1ODM1MTEsMC45NzczMDgzMjcyOTA3NTgzIiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDkuMjYwNjM1LCJsbmciOjAuOTc3MzA4LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
5,5f4914934ded6f0001f02cb4,Moyenne section,SIDATA,2020-2021,2020-08-28 16:28,3.0,Public,Ecole maternelle Thibault Chabrand,95240,95176,Cormeilles-en-Parisis,CORMEILLES EN PARISIS,Val-d'Oise,Ile-de-France,Point,48.97679334,2.20240407,2021-02-15 14:07,"48.976793335550006,2.20240407086093",0.0,🔵 eyJpIjoiNDguOTc2NzkzMzM1NTUwMDA2LDIuMjAyNDA0MDcwODYwOTMiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0OC45NzY3OTMsImxuZyI6Mi4yMDI0MDQsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaTg3MG45QkdJT1VWZDFDIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGJKbE1CSklkMWdCY2xxIn0sImUiOjB9
6,5f4914554ded6f0001f02c8c,Moyenne section,classe de Mehdi,2020-2021,2020-08-28 16:27,1.0,Public,Ecole primaire Victor Hugo,94130,94052,Nogent-sur-Marne,NOGENT SUR MARNE,Val-de-Marne,Ile-de-France,Point,48.83301114,2.48485446,2021-02-15 14:07,"48.833011139436245,2.4848544585189525",0.0,🔵 eyJpIjoiNDguODMzMDExMTM5NDM2MjQ1LDIuNDg0ODU0NDU4NTE4OTUyNSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ4LjgzMzAxMSwibG5nIjoyLjQ4NDg1NCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
7,5f4917204ded6f0001f030c2,Petite section,s5,2020-2021,2020-08-28 16:39,1.0,Public,Ecole élémentaire Paul Langevin,39500,39189,Damparis,DAMPARIS,Jura,Bourgogne-Franche-Comté,Point,47.06995174,5.41573707,2021-02-15 14:07,"47.06995174190594,5.415737072219595",0.0,🔵 eyJpIjoiNDcuMDY5OTUxNzQxOTA1OTQsNS40MTU3MzcwNzIyMTk1OTUiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0Ny4wNjk5NTIsImxuZyI6NS40MTU3MzcsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaTg3MG45QkdJT1VWZDFDIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGJKbE1CSklkMWdCY2xxIn0sImUiOjB9
8,5f4cfe154ded6f0001f03f62,CM1,Mme Kafi - CM1,2020-2021,2020-08-31 15:41,0.0,Public,Ecole primaire Fleming,27370,27616,La Saussaye,LA SAUSSAYE,Eure,Normandie,Point,49.25930253,0.97761053,2021-02-17 19:18,"49.25930253478205,0.97761053487542",2.0,🔵 eyJpIjoiNDkuMjU5MzAyNTM0NzgyMDUsMC45Nzc2MTA1MzQ4NzU0MiIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ5LjI1OTMwMywibG5nIjowLjk3NzYxMSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
9,5f4e619cc154d5000100b026,CM1,Bleu,2020-2021,2020-09-01 16:58,0.0,Privé,Collège privé Montalembert,94736,94052,Nogent-sur-Marne,NOGENT SUR MARNE CEDEX,Val-de-Marne,Ile-de-France,Point,48.83844427,2.47168319,2021-02-15 14:07,"48.83844426523725,2.4716831854648893",0.0,🔵 eyJpIjoiNDguODM4NDQ0MjY1MjM3MjUsMi40NzE2ODMxODU0NjQ4ODkzIiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDguODM4NDQ0LCJsbmciOjIuNDcxNjgzLCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
