,id,label,description,location,nbPeriods,firstPeriods-startDate,firstPeriods-endDate,author,creationDate,lastModificationDate,visibility,status,frequencyType,dayOfWeek,dayOfMonth,frequencyValue,groupPartSize,groupOrgSize,eventType
0,5e6093839fed0e000155fef3,Lancement programmé Start,Lancement + dej,Willa 35 rue du Sentier Paris,1,2020-03-11 11:00,2020-03-11 13:30,5e5ccf59026b4800016b27b0,2020-03-05 06:52,2020-03-05 06:52,PRIVATE,CREATED,ONCE,WEDNESDAY,11,1,2,1,
1,5e61123e9fed0e00015600a6,Dîner dailyartfair,,,1,2020-03-06 21:51,2020-03-06 23:51,5e5e2cb73dc85e0001e90672,2020-03-05 15:52,2020-03-05 15:52,PRIVATE,CREATED,ONCE,SATURDAY,7,1,1,1,
2,5e75d5179fed0e000191fcec,Un petit télé apéro ? ,,En visio,1,2020-03-22 19:00,2020-03-22 00:00,5e5ccf59026b4800016b27b0,2020-03-21 09:49,2020-03-21 09:49,PRIVATE,CREATED,ONCE,SUNDAY,22,1,2,1,
3,5ec28f8b7b059100010baa8f,Côte de boeuf party,"La côte de bœuf, c'est bon. Miam miam",La Saussaye,1,2020-06-01 12:00,2020-06-01 15:00,5e5ccf59026b4800016b27b0,2020-05-18 15:37,2020-05-22 10:44,PRIVATE,CREATED,ONCE,MONDAY,1,1,3,1,
4,5e62410b9fed0e000156035a,Mix Mondes,Atelier pour les enfants,La Gaité lyrique,1,2020-03-15 15:30,2020-03-15 16:30,5e617dc09fed0e00015600b2,2020-03-06 13:24,2020-03-06 21:14,PRIVATE,CREATED,ONCE,SUNDAY,15,1,2,2,
5,5e527d859b41540001ebf48c,test,,paris,1,2020-03-02 14:00,2020-03-31 17:00,5e47f02c09468c00014ebdd9,2020-02-23 14:26,2020-02-23 14:26,PRIVATE,CREATED,ONCE,MONDAY,2,1,0,1,
6,5e64eb9e9fed0e0001560a66,le 1,test,pas ici,1,2020-03-14 14:30,2020-03-14 14:45,5e6210cd9fed0e00015600b9,2020-03-08 13:57,2020-03-08 13:57,PRIVATE,CREATED,ONCE,SATURDAY,14,1,0,1,
7,5e64ebca9fed0e0001560a67,le 2,test,la bas,1,2020-03-14 15:55,2020-03-14 16:00,5e6210cd9fed0e00015600b9,2020-03-08 13:57,2020-03-08 13:57,PRIVATE,CREATED,ONCE,SATURDAY,14,1,0,1,
8,5e64ea109fed0e0001560a64,piscine les vendredi,penser aux habits,ecole,1,2020-03-13 08:00,2020-05-29 00:00,5e6210cd9fed0e00015600b9,2020-03-08 13:50,2020-03-08 13:51,PRIVATE,CREATED,WEEKLY,FRIDAY,0,1,1,1,
9,5e60ecd59fed0e00015600a2,Pot de départ Budget Box Simon,"Mince, la cagnotte  et le cadeau commun n'existent pas encore !!",Paris,1,2020-03-06 20:00,2020-03-06 23:00,5e5ccf59026b4800016b27b0,2020-03-05 13:13,2020-03-05 13:13,PRIVATE,CREATED,ONCE,FRIDAY,6,1,2,1,
10,5e6298cc9fed0e00015605f7,soiree apero,bla bla et patati et patata,"lat:48.88824589782804 , lng:2.2383466025449783",1,2020-03-06 19:37,2020-03-06 21:34,5e6210cd9fed0e00015600b9,2020-03-06 19:39,2020-03-25 17:32,PRIVATE,CREATED,ONCE,FRIDAY,6,1,2,2,
11,5ecfacbbbc261f00011dcb31,Dîner en Amoureux,,A la maison ,1,2020-06-04 20:00,2020-06-04 21:00,5e5e2cb73dc85e0001e90672,2020-05-28 14:21,2020-05-28 14:21,PRIVATE,CREATED,ONCE,TUESDAY,4,1,1,1,
12,5ea6fff5c6cc020001891463,Semaine de travail au vert,,La Saussaye,1,2020-05-01 10:00,2020-05-07 16:00,5e5ccf59026b4800016b27b0,2020-04-27 17:53,2020-04-27 17:53,PRIVATE,CREATED,ONCE,FRIDAY,1,1,2,1,
13,5ec622eae7ecff0001762941,Test prod,,Prod,1,2020-05-22 08:42,2020-05-22 09:42,5e5ccf59026b4800016b27b0,2020-05-21 08:42,2020-05-22 10:45,PRIVATE,CREATED,ONCE,FRIDAY,22,1,1,1,
14,5e7b89119fed0e000191fcf2,1 er test caro,tout est dans le titre ,maison,1,2020-03-26 17:33,2020-03-26 17:33,5e617d019fed0e00015600a9,2020-03-25 17:38,2020-03-25 17:38,PRIVATE,CREATED,ONCE,TUESDAY,26,1,4,1,
15,5e64e8669fed0e0001560a62,un evenement recurent,je me brosse les dents,"lat:48.89180956320587 , lng:2.2386789321899414",1,2020-03-08 20:40,2020-06-30 20:43,5e6210cd9fed0e00015600b9,2020-03-08 13:43,2020-03-08 13:43,PRIVATE,CREATED,DAILY,SUNDAY,8,1,1,1,
